cl_d5_diagnose_begindatum|cl_d5_diagnose_einddatum|cl_d5_diagnose_code|cl_d5_diagnose_groep_code|cl_d5_diagnose_beschrijving|cl_d5_diagnose_hierarchieniveau|cl_d5_diagnose_selecteerbaar|cl_d5_diagnose_refcode_icd9cm|cl_d5_diagnose_mutatie
20170101|99991231|D5_12.06.05|D5_12.06|Andere gespecificeerde slaap-waakstoornis|3|1|780.59|
20170101|99991231|D5_12.06.06|D5_12.06|Ongespecificeerde slaap-waakstoornis|3|1|780.59|
20170101|99991231|D5_13||Seksuele disfuncties|1|0||
20170101|99991231|D5_13.01|D5_13|Vertraagde ejaculatie|2|1|302.74|
20170101|99991231|D5_13.02|D5_13|Erectiestoornis|2|1|302.72|
20170101|99991231|D5_13.03|D5_13|Orgasmestoornis bij de vrouw|2|1|302.73|
20170101|99991231|D5_13.04|D5_13|Seksuele-interesse-/opwindingsstoornis bij de vrouw|2|1|302.72|
20170101|99991231|D5_13.05|D5_13|Genitopelvienepijn-/penetratiestoornis|2|1|302.76|
20170101|99991231|D5_13.06|D5_13|Hypoactief-seksueelverlangenstoornis bij de man|2|1|302.71|
20170101|99991231|D5_13.07|D5_13|Voortijdige ejaculatie|2|1|302.75|
20170101|99991231|D5_13.08|D5_13|Seksuele disfunctie door een middel / medicatie|2|0||
20170101|99991231|D5_13.08.01|D5_13.08|Seksuele disfunctie door alcohol|3|2|291.89|
20170101|99991231|D5_13.08.01.01|D5_13.08.01|Seksuele disfunctie door alcohol: met begin tijdens intoxicatie|4|1|291.89|
20170101|99991231|D5_13.08.01.02|D5_13.08.01|Seksuele disfunctie door alcohol: met begin tijdens onttrekking|4|1|291.89|
20170101|99991231|D5_13.08.02|D5_13.08|Seksuele disfunctie door een opioïde|3|2|292.89|
20170101|99991231|D5_13.08.02.01|D5_13.08.02|Seksuele disfunctie door een opioïde: met begin tijdens intoxicatie|4|1|292.89|
20170101|99991231|D5_13.08.02.02|D5_13.08.02|Seksuele disfunctie door een opioïde: met begin tijdens onttrekking|4|1|292.89|
20170101|99991231|D5_13.08.03|D5_13.08|Seksuele disfunctie door hypnotica of anxiolytica|3|2|292.89|
20170101|99991231|D5_13.08.03.01|D5_13.08.03|Seksuele disfunctie door hypnotica of anxiolytica: met begin tijdens intoxicatie|4|1|292.89|
20170101|99991231|D5_13.08.03.02|D5_13.08.03|Seksuele disfunctie door hypnotica of anxiolytica: met begin tijdens onttrekking|4|1|292.89|
20170101|99991231|D5_13.08.04|D5_13.08|Seksuele disfunctie door amfetamine (of andere stimulantia)|3|2|292.89|
20170101|99991231|D5_13.08.04.01|D5_13.08.04|Seksuele disfunctie door amfetamine (of andere stimulantia): met begin tijdens intoxicatie|4|1|292.89|
20170101|99991231|D5_13.08.04.02|D5_13.08.04|Seksuele disfunctie door amfetamine (of andere stimulantia): met begin tijdens onttrekking|4|1|292.89|
20170101|99991231|D5_13.08.05|D5_13.08|Seksuele disfunctie door cocaïne|3|2|292.89|
20170101|99991231|D5_13.08.05.01|D5_13.08.05|Seksuele disfunctie door cocaïne: met begin tijdens intoxicatie|4|1|292.89|
20170101|99991231|D5_13.08.06|D5_13.08|Seksuele disfunctie door een ander (of onbekend) middel|3|2|292.89|
20170101|99991231|D5_13.08.06.01|D5_13.08.06|Seksuele disfunctie door een ander (of onbekend) middel: met begin tijdens intoxicatie|4|1|292.89|
20170101|99991231|D5_13.08.06.02|D5_13.08.06|Seksuele disfunctie door een ander (of onbekend) middel: met begin tijdens ontrekking|4|1|292.89|
20170101|99991231|D5_13.09|D5_13|Andere seksuele disfuncties|2|0||
20170101|99991231|D5_13.09.01|D5_13.09|Andere gespecificeerde seksuele disfunctie|3|1|302.79|
20170101|99991231|D5_13.09.02|D5_13.09|Ongespecificeerde seksuele disfunctie|3|1|302.70|
20170101|99991231|D5_14||Genderdysforie|1|0||
20170101|99991231|D5_14.01|D5_14|Genderdysforie bij adolescenten of volwassenen|2|1|302.85|
20170101|99991231|D5_14.02|D5_14|Andere genderdysforie|2|0||
20170101|99991231|D5_14.02.01|D5_14.02|Ongespecificeerde genderdysforie|3|1|302.6|
20170101|99991231|D5_14.02.02|D5_14.02|Andere gespecificeerde genderdysforie|3|1|302.6|
20170101|99991231|D5_15||Disruptieve, impulsbeheersings- en andere gedragsstoornissen|1|0||
20170101|99991231|D5_15.01|D5_15|Oppositioneel-opstandige gedragsstoornis|2|1|313.81|
20170101|99991231|D5_15.02|D5_15|Periodieke explosieve stoornis|2|1|312.34|
20170101|99991231|D5_15.03|D5_15|Normoverschrijdend-gedragsstoornis|2|0||
20170101|99991231|D5_15.03.01|D5_15.03|Normoverschrijdend-gedragsstoornis: met begin in de kindertijd|3|1|312.81|
20170101|99991231|D5_15.03.02|D5_15.03|Normoverschrijdend-gedragsstoornis: met begin in de adolescentie|3|1|312.82|
20170101|99991231|D5_15.03.03|D5_15.03|Normoverschrijdend-gedragsstoornis: begin ongespecificeerd|3|1|312.89|
20170101|99991231|D5_15.04|D5_15|Antisociale persoonlijkheidsstoornis|2|1|301.7|
20170101|99991231|D5_15.05|D5_15|Kleptomanie|2|1|312.32|
20170101|99991231|D5_15.06|D5_15|Pyromanie|2|1|312.33|
20170101|99991231|D5_15.07|D5_15|Andere disruptieve, impulsbeheersings- of andere gedragsstoornissen|2|0||
20170101|99991231|D5_15.07.01|D5_15.07|Andere gespecificeerde disruptieve, impulsbeheersings- of andere gedragsstoornis|3|1|312.89|
20170101|99991231|D5_15.07.02|D5_15.07|Ongespecificeerde disruptieve, impulsbeheersings- of andere gedragsstoornis|3|1|312.9|
20170101|99991231|D5_16||Middelgerelateerde en verslavingsstoornissen|1|0||
20170101|99991231|D5_16.01|D5_16|Middelgerelateerde stoornissen|2|0||
20170101|99991231|D5_16.01.01|D5_16.01|Alcoholgerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.01.01|D5_16.01.01|Stoornis in alcoholgebruik|4|0||
20170101|99991231|D5_16.01.01.01.01|D5_16.01.01.01|Stoornis in alcoholgebruik: licht|5|1|305.00|
20170101|99991231|D5_16.01.01.01.02|D5_16.01.01.01|Stoornis in alcoholgebruik: matig|5|1|303.90|
20170101|99991231|D5_16.01.01.01.03|D5_16.01.01.01|Stoornis in alcoholgebruik: ernstig|5|1|303.90|
20170101|99991231|D5_16.01.01.02|D5_16.01.01|Alcoholintoxicatie|4|1|303.00|
20170101|99991231|D5_16.01.01.03|D5_16.01.01|Alcoholonttrekkingssyndroom|4|0||
20170101|99991231|D5_16.01.01.03.01|D5_16.01.01.03|Alcoholonttrekkingssyndroom: met perceptiestoornissen|5|1|291.81|
20170101|99991231|D5_16.01.01.03.02|D5_16.01.01.03|Alcoholonttrekkingssyndroom|5|1|291.81|
20170101|99991231|D5_16.01.01.04|D5_16.01.01|Ongespecificeerde alcoholgerelateerde stoornis|4|1|291.9|
20170101|99991231|D5_16.01.02|D5_16.01|Cafeïnegerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.02.01|D5_16.01.02|Cafeïne-intoxicatie|4|1|305.90|
20170101|99991231|D5_16.01.02.02|D5_16.01.02|Cafeïneonttrekkingssyndroom|4|1|292.0|
20170101|99991231|D5_16.01.02.03|D5_16.01.02|Ongespecificeerde cafeïnegerelateerde stoornis|4|1|292.9|
20170101|99991231|D5_16.01.03|D5_16.01|Cannabis gerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.03.01|D5_16.01.03|Stoornis in cannabisgebruik|4|0||
20170101|99991231|D5_16.01.03.01.01|D5_16.01.03.01|Stoornis in cannabisgebruik: licht|5|1|305.20|
20170101|99991231|D5_16.01.03.01.02|D5_16.01.03.01|Stoornis in cannabisgebruik: matig, ernstig|5|1|304.30|
20170101|99991231|D5_16.01.03.02|D5_16.01.03|Cannabisintoxicatie|4|1|292.89|
20170101|99991231|D5_16.01.03.03|D5_16.01.03|Cannabisonttrekkingssyndroom|4|1|292.0|
20170101|99991231|D5_16.01.03.04|D5_16.01.03|Ongespecificeerde cannabis gerelateerde stoornis|4|1|292.9|
20170101|99991231|D5_16.01.04|D5_16.01|Hallucinogeen gerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.04.01|D5_16.01.04|Stoornis in fencyclidinegebruik|4|0||
20170101|99991231|D5_16.01.04.01.01|D5_16.01.04.01|Stoornis in fencyclidinegebruik: licht|5|1|305.90|
20170101|20171231|D5_16.01.04.01.02|D5_16.01.04.01|Stoornis in fencyclidinegebruik: matig, ernstig|5|1|304.50|
20180101|99991231|D5_16.01.04.01.02|D5_16.01.04.01|Stoornis in fencyclidinegebruik: matig, ernstig|5|1|304.60|
20170101|99991231|D5_16.01.04.02|D5_16.01.04|Stoornis in het gebruik van een hallucinogeen|4|0||
20170101|99991231|D5_16.01.04.02.01|D5_16.01.04.02|Stoornis in het gebruik van een hallucinogeen: licht|5|1|305.30|
20170101|99991231|D5_16.01.04.02.02|D5_16.01.04.02|Stoornis in het gebruik van een hallucinogeen: matig, ernstig|5|1|304.50|
20170101|99991231|D5_16.01.04.03|D5_16.01.04|Fencyclidine-intoxicatie|4|1|292.89|
20170101|99991231|D5_16.01.04.04|D5_16.01.04|Intoxicatie door een hallucinogeen|4|1|292.89|
20170101|99991231|D5_16.01.04.05|D5_16.01.04|Persisterende perceptiestoornis door een hallucinogeen|4|1|292.89|
20170101|99991231|D5_16.01.04.06|D5_16.01.04|Ongespecificeerde fencyclidinegerelateerde stoornis|4|1|292.9|
20170101|99991231|D5_16.01.04.07|D5_16.01.04|Ongespecificeerde hallucinogeengerelateerde stoornis|4|1|292.9|
20170101|99991231|D5_16.01.05|D5_16.01|Inhalantium gerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.05.01|D5_16.01.05|Stoornis in het gebruik van een inhalantium|4|0||
20170101|99991231|D5_16.01.05.01.01|D5_16.01.05.01|Stoornis in het gebruik van een inhalantium: licht|5|1|305.90|
20170101|99991231|D5_16.01.05.01.02|D5_16.01.05.01|Stoornis in het gebruik van een inhalantium: matig, ernstig|5|1|304.60|
20170101|99991231|D5_16.01.05.02|D5_16.01.05|Intoxicatie door een inhalantium|4|1|292.89|
20170101|99991231|D5_16.01.05.03|D5_16.01.05|Ongespecificeerde inhalantiumgerelateerde stoornis|4|1|292.9|
20170101|99991231|D5_16.01.06|D5_16.01|Opioïde gerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.06.01|D5_16.01.06|Stoornis in het gebruik van een opioïde|4|0||
20170101|99991231|D5_16.01.06.01.01|D5_16.01.06.01|Stoornis in het gebruik van een opioïde: licht|5|1|305.50|
20170101|99991231|D5_16.01.06.01.02|D5_16.01.06.01|Stoornis in het gebruik van een opioïde: matig, ernstig|5|1|304.00|
20170101|99991231|D5_16.01.06.02|D5_16.01.06|Intoxicatie door een opioïde|4|1|292.89|
20170101|99991231|D5_16.01.06.03|D5_16.01.06|Onttrekkingssyndroom van een opioïde|4|1|292.0|
20170101|99991231|D5_16.01.06.04|D5_16.01.06|Ongespecificeerde opioïdegerelateerde stoornis|4|1|292.9|
20170101|99991231|D5_16.01.07|D5_16.01|Hypnoticum- of anxiolyticum gerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.07.01|D5_16.01.07|Stoornis in het gebruik van een hypnoticum of anxiolyticum|4|0||
20170101|99991231|D5_16.01.07.01.01|D5_16.01.07.01|Stoornis in het gebruik van een hypnoticum of anxiolyticum: licht|5|1|305.40|
20170101|99991231|D5_16.01.07.01.02|D5_16.01.07.01|Stoornis in het gebruik van een hypnoticum of anxiolyticum: matig, ernstig|5|1|304.10|
20170101|20171231|D5_16.01.07.02|D5_16.01.07|Intoxicatie door een hypnoticum of anxiolyticum|4|1|289.92|
20180101|99991231|D5_16.01.07.02|D5_16.01.07|Intoxicatie door een hypnoticum of anxiolyticum|4|1|292.89|
20170101|99991231|D5_16.01.07.03|D5_16.01.07|Onttrekkingssyndroom van een hypnoticum of anxiolyticum|4|1|292.0|
20170101|99991231|D5_16.01.07.04|D5_16.01.07|Ongespecificeerde hypnoticum- of anxiolyticumgerelateerde stoornis|4|1|292.9|
20170101|99991231|D5_16.01.08|D5_16.01|Stimulantium gerelateerde stoornissen|3|0||
20170101|99991231|D5_16.01.08.01|D5_16.01.08|Stoornis in het gebruik van een stimulantium|4|0||
20170101|99991231|D5_16.01.08.01.01|D5_16.01.08.01|Stoornis in het gebruik van een stimulantium: amfetamineachtig middel|5|0||
