cl_activiteit_begindatum|cl_activiteit_einddatum|cl_activiteit_code|cl_activiteit_groepcode|cl_activiteit_element|cl_activiteit_beschrijving|cl_activiteit_aanspraak_type|cl_activiteit_hierarchieniveau|cl_activiteit_selecteerbaar|cl_activiteit_sorteervolgorde|cl_activiteit_soort|cl_activiteit_mag_direct|cl_activiteit_mag_indirect|cl_activiteit_mag_reistijd|cl_activiteit_mag_groep|cl_activiteit_mutatie|cl_activiteit_branche_indicatie
20130101|99991231|act_2.6.1|act_2.6|Intelligentie|Psychodiagnostisch onderzoek: Intelligentie|B|3|1|100|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.6.2|act_2.6|Neuropsychologisch|Psychodiagnostisch onderzoek: Neuropsychologisch||3|1|110|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.6.2|act_2.6|Neuropsychologisch|Psychodiagnostisch onderzoek: Neuropsychologisch|B|3|1|110|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.6.3|act_2.6|Persoonlijkheid|Psychodiagnostisch onderzoek: Persoonlijkheid||3|1|120|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.6.3|act_2.6|Persoonlijkheid|Psychodiagnostisch onderzoek: Persoonlijkheid|B|3|1|120|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.7|act_2|Orthodidactisch onderzoek|Orthodidactisch onderzoek||2|1|130|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.7|act_2|Orthodidactisch onderzoek|Orthodidactisch onderzoek|B|2|1|130|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.8|act_2|Vaktherapeutisch onderzoek|Vaktherapeutisch onderzoek||2|1|140|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.8|act_2|Vaktherapeutisch onderzoek|Vaktherapeutisch onderzoek|B|2|1|140|Tijdschrijven|J|J|J|J||0
20000101|20121231|act_2.9|act_2|Contextueel onderzoek (gezin, school, etc)|Contextueel onderzoek (gezin, school, etc)||2|1|150|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_2.9|act_2|Contextueel onderzoek (gezin, school, etc)|Contextueel onderzoek (gezin, school, etc)|B|2|1|150|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3||Behandeling|Behandeling||1|0|200|Tijdschrijven|N|N|N|N||0
20000101|99991231|act_3.1|act_3|Communicatieve behandeling|Communicatieve behandeling||2|0|210|Tijdschrijven|N|N|N|N||0
20000101|99991231|act_3.1.1|act_3.1|Follow up behandelcontact|Follow up behandelcontact||3|0|220|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.1.1|act_3.1.1|Patiënt individueel|Follow up behandelcontact: Patiënt individueel||4|1|230|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.1.1|act_3.1.1|Patiënt individueel|Follow up behandelcontact: Patiënt individueel|C|4|1|230|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.1.2|act_3.1.1|Patiënt in groep|Follow up behandelcontact: Patiënt in groep||4|1|240|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.1.2|act_3.1.1|Patiënt in groep|Follow up behandelcontact: Patiënt in groep|C|4|1|240|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.1.3|act_3.1.1|Systeem (gezin/paar/ouders) met patient|Follow up behandelcontact: Systeem (gezin/paar/ouders) met patient||4|1|250|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.1.4|act_3.1.1|Systeem (gezin/paar/ouders) zonder patient individueel|Follow up behandelcontact: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|260|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.1.4|act_3.1.1|Systeem (gezin/paar/ouders) zonder patient individueel|Follow up behandelcontact: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|260|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.1.4|act_3.1.1|Systeem (gezin/paar/ouders) zonder patient individueel|Follow up behandelcontact: Systeem (gezin/paar/ouders) zonder patient individueel|C|4|1|260|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.1.5|act_3.1.1|Systeem (gezin/paar/ouders) zonder patient in groep|Follow up behandelcontact: Systeem (gezin/paar/ouders) zonder patient in groep||4|1|270|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.1.5|act_3.1.1|Systeem (gezin/paar/ouders) zonder patient in groep|Follow up behandelcontact: Systeem (gezin/paar/ouders) zonder patient in groep|C|4|1|270|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.1.6|act_3.1.1|Systeem (gezin/paar/ouders) met patient individueel|Follow up behandelcontact: Systeem (gezin/paar/ouders) met patient individueel||4|1|250|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.1.6|act_3.1.1|Systeem (gezin/paar/ouders) met patient individueel|Follow up behandelcontact: Systeem (gezin/paar/ouders) met patient individueel|C|4|1|250|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.1.7|act_3.1.1|Systeem (gezin/paar/ouders) met patient in groep|Follow up behandelcontact: Systeem (gezin/paar/ouders) met patient in groep||4|1|251|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.1.7|act_3.1.1|Systeem (gezin/paar/ouders) met patient in groep|Follow up behandelcontact: Systeem (gezin/paar/ouders) met patient in groep|C|4|1|251|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.2|act_3.1|Steunend en structurerend behandelcontact|Steunend en structurerend behandelcontact||3|0|280|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.2.1|act_3.1.2|Patiënt individueel|Steunend en structurerend behandelcontact: Patiënt individueel||4|1|290|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.2.1|act_3.1.2|Patiënt individueel|Steunend en structurerend behandelcontact: Patiënt individueel|C|4|1|290|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.2.2|act_3.1.2|Patiënt in groep|Steunend en structurerend behandelcontact: Patiënt in groep||4|1|300|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.2.2|act_3.1.2|Patiënt in groep|Steunend en structurerend behandelcontact: Patiënt in groep|C|4|1|300|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.2.3|act_3.1.2|Systeem (gezin/paar/ouders) met patient|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) met patient||4|1|310|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.2.4|act_3.1.2|Systeem (gezin/paar/ouders) zonder patient individueel|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|320|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.2.4|act_3.1.2|Systeem (gezin/paar/ouders) zonder patient individueel|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) zonder patient individueel||4|1|320|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.2.4|act_3.1.2|Systeem (gezin/paar/ouders) zonder patient individueel|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) zonder patient individueel|C|4|1|320|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.2.5|act_3.1.2|Systeem (gezin/paar/ouders) zonder patient in groep|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) zonder patient in groep||4|1|330|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.2.5|act_3.1.2|Systeem (gezin/paar/ouders) zonder patient in groep|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) zonder patient in groep|C|4|1|330|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.2.6|act_3.1.2|Systeem (gezin/paar/ouders) met patient individueel|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) met patient individueel||4|1|310|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.2.6|act_3.1.2|Systeem (gezin/paar/ouders) met patient individueel|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) met patient individueel|C|4|1|310|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.2.7|act_3.1.2|Systeem (gezin/paar/ouders) met patient in groep|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) met patient in groep||4|1|311|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.2.7|act_3.1.2|Systeem (gezin/paar/ouders) met patient in groep|Steunend en structurerend behandelcontact: Systeem (gezin/paar/ouders) met patient in groep|C|4|1|311|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.3|act_3.1|Psychotherapie|Psychotherapie||3|0|340|Tijdschrijven|N|N|N|N||0
20000101|99991231|act_3.1.3.1|act_3.1.3|Psychoanalyse|Psychoanalyse||4|0|350|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.1.1|act_3.1.3.1|Patiënt individueel|Psychoanalyse: Patiënt individueel||5|1|360|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.1.1|act_3.1.3.1|Patiënt individueel|Psychoanalyse: Patiënt individueel|E|5|1|360|Tijdschrijven|J|J|J|N||0
20000101|20071231|act_3.1.3.1.2|act_3.1.3.1|Patiënt in groep|Psychoanalyse: Patiënt in groep||5|1|370|Tijdschrijven|J|J|J|J||1
20000101|20071231|act_3.1.3.1.3|act_3.1.3.1|Systeem (gezin/paar/ouders) met patient|Psychoanalyse: Systeem (gezin/paar/ouders) met patient||5|1|380|Tijdschrijven|J|J|J|J||1
20080101|20091231|act_3.1.3.1.3|act_3.1.3.1|Systeem (gezin/paar/ouders) met patient|Psychoanalyse: Systeem (gezin/paar/ouders) met patient||5|1|380|Tijdschrijven|J|J|J|N||0
20000101|20061231|act_3.1.3.1.4|act_3.1.3.1|Systeem (gezin/paar/ouders) zonder patient individueel|Psychoanalyse: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|390|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.1.4|act_3.1.3.1|Systeem (gezin/paar/ouders) zonder patient individueel|Psychoanalyse: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|390|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.1.4|act_3.1.3.1|Systeem (gezin/paar/ouders) zonder patient individueel|Psychoanalyse: Systeem (gezin/paar/ouders) zonder patient individueel|E|5|1|390|Tijdschrijven|J|J|J|N||0
20000101|20071231|act_3.1.3.1.5|act_3.1.3.1|Systeem (gezin/paar/ouders) zonder patient in groep|Psychoanalyse: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|400|Tijdschrijven|J|J|J|J||1
20100101|20121231|act_3.1.3.1.6|act_3.1.3.1|Systeem (gezin/paar/ouders) met patient individueel|Psychoanalyse: Systeem (gezin/paar/ouders) met patient individueel||5|1|380|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.1.6|act_3.1.3.1|Systeem (gezin/paar/ouders) met patient individueel|Psychoanalyse: Systeem (gezin/paar/ouders) met patient individueel|E|5|1|380|Tijdschrijven|J|J|J|N||0
20000101|99991231|act_3.1.3.2|act_3.1.3|Psychodynamische psychotherapie|Psychodynamische psychotherapie||4|0|410|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.2.1|act_3.1.3.2|Patiënt individueel|Psychodynamische psychotherapie: Patiënt individueel||5|1|420|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.2.1|act_3.1.3.2|Patiënt individueel|Psychodynamische psychotherapie: Patiënt individueel|C|5|1|420|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.2.2|act_3.1.3.2|Patiënt in groep|Psychodynamische psychotherapie: Patiënt in groep||5|1|430|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.2.2|act_3.1.3.2|Patiënt in groep|Psychodynamische psychotherapie: Patiënt in groep|C|5|1|430|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.3.2.3|act_3.1.3.2|Systeem (gezin/paar/ouders) met patient|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) met patient||5|1|440|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.3.2.4|act_3.1.3.2|Systeem (gezin/paar/ouders) zonder patient individueel|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|450|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.2.4|act_3.1.3.2|Systeem (gezin/paar/ouders) zonder patient individueel|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|450|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.2.4|act_3.1.3.2|Systeem (gezin/paar/ouders) zonder patient individueel|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) zonder patient individueel|C|5|1|450|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.2.5|act_3.1.3.2|Systeem (gezin/paar/ouders) zonder patient in groep|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|460|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.2.5|act_3.1.3.2|Systeem (gezin/paar/ouders) zonder patient in groep|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) zonder patient in groep|C|5|1|460|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.3.2.6|act_3.1.3.2|Systeem (gezin/paar/ouders) met patient individueel|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) met patient individueel||5|1|440|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.2.6|act_3.1.3.2|Systeem (gezin/paar/ouders) met patient individueel|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) met patient individueel|C|5|1|440|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.3.2.7|act_3.1.3.2|Systeem (gezin/paar/ouders) met patient in groep|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) met patient in groep||5|1|441|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.2.7|act_3.1.3.2|Systeem (gezin/paar/ouders) met patient in groep|Psychodynamische psychotherapie: Systeem (gezin/paar/ouders) met patient in groep|C|5|1|441|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.3.3|act_3.1.3|Gedragstherapie|Gedragstherapie||4|0|470|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.3.1|act_3.1.3.3|Patiënt individueel|Gedragstherapie: Patiënt individueel||5|1|480|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.3.1|act_3.1.3.3|Patiënt individueel|Gedragstherapie: Patiënt individueel|C|5|1|480|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.3.2|act_3.1.3.3|Patiënt in groep|Gedragstherapie: Patiënt in groep||5|1|490|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.3.2|act_3.1.3.3|Patiënt in groep|Gedragstherapie: Patiënt in groep|C|5|1|490|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.3.3.3|act_3.1.3.3|Systeem (gezin/paar/ouders) met patient|Gedragstherapie: Systeem (gezin/paar/ouders) met patient||5|1|500|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.3.3.4|act_3.1.3.3|Systeem (gezin/paar/ouders) zonder patient individueel|Gedragstherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|510|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.3.4|act_3.1.3.3|Systeem (gezin/paar/ouders) zonder patient individueel|Gedragstherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|510|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.3.4|act_3.1.3.3|Systeem (gezin/paar/ouders) zonder patient individueel|Gedragstherapie: Systeem (gezin/paar/ouders) zonder patient individueel|C|5|1|510|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.3.5|act_3.1.3.3|Systeem (gezin/paar/ouders) zonder patient in groep|Gedragstherapie: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|520|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.3.5|act_3.1.3.3|Systeem (gezin/paar/ouders) zonder patient in groep|Gedragstherapie: Systeem (gezin/paar/ouders) zonder patient in groep|C|5|1|520|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.3.3.6|act_3.1.3.3|Systeem (gezin/paar/ouders) met patient individueel|Gedragstherapie: Systeem (gezin/paar/ouders) met patient individueel||5|1|500|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.3.6|act_3.1.3.3|Systeem (gezin/paar/ouders) met patient individueel|Gedragstherapie: Systeem (gezin/paar/ouders) met patient individueel|C|5|1|500|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.3.3.7|act_3.1.3.3|Systeem (gezin/paar/ouders) met patient in groep|Gedragstherapie: Systeem (gezin/paar/ouders) met patient in groep||5|1|501|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.3.7|act_3.1.3.3|Systeem (gezin/paar/ouders) met patient in groep|Gedragstherapie: Systeem (gezin/paar/ouders) met patient in groep|C|5|1|501|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.3.4|act_3.1.3|Cognitieve gedragstherapie|Cognitieve gedragstherapie||4|0|530|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.4.1|act_3.1.3.4|Patiënt individueel|Cognitieve gedragstherapie: Patiënt individueel||5|1|540|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.4.1|act_3.1.3.4|Patiënt individueel|Cognitieve gedragstherapie: Patiënt individueel|C|5|1|540|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.4.2|act_3.1.3.4|Patiënt in groep|Cognitieve gedragstherapie: Patiënt in groep||5|1|550|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.4.2|act_3.1.3.4|Patiënt in groep|Cognitieve gedragstherapie: Patiënt in groep|C|5|1|550|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.3.4.3|act_3.1.3.4|Systeem (gezin/paar/ouders) met patient|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) met patient||5|1|560|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.3.4.4|act_3.1.3.4|Systeem (gezin/paar/ouders) zonder patient individueel|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|570|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.4.4|act_3.1.3.4|Systeem (gezin/paar/ouders) zonder patient individueel|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|570|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.4.4|act_3.1.3.4|Systeem (gezin/paar/ouders) zonder patient individueel|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) zonder patient individueel|C|5|1|570|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.4.5|act_3.1.3.4|Systeem (gezin/paar/ouders) zonder patient in groep|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) zonder patient in groep||5|1|580|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.4.5|act_3.1.3.4|Systeem (gezin/paar/ouders) zonder patient in groep|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) zonder patient in groep|C|5|1|580|Tijdschrijven|J|J|J|J||0
20100101|20121231|act_3.1.3.4.6|act_3.1.3.4|Systeem (gezin/paar/ouders) met patient individueel|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) met patient individueel||5|1|560|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.4.6|act_3.1.3.4|Systeem (gezin/paar/ouders) met patient individueel|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) met patient individueel|C|5|1|560|Tijdschrijven|J|J|J|N||0
20100101|20121231|act_3.1.3.4.7|act_3.1.3.4|Systeem (gezin/paar/ouders) met patient in groep|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) met patient in groep||5|1|561|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.4.7|act_3.1.3.4|Systeem (gezin/paar/ouders) met patient in groep|Cognitieve gedragstherapie: Systeem (gezin/paar/ouders) met patient in groep|C|5|1|561|Tijdschrijven|J|J|J|J||0
20000101|99991231|act_3.1.3.5|act_3.1.3|Interpersoonlijke therapie|Interpersoonlijke therapie||4|0|590|Tijdschrijven|N|N|N|N||0
20000101|20121231|act_3.1.3.5.1|act_3.1.3.5|Patiënt individueel|Interpersoonlijke therapie: Patiënt individueel||5|1|600|Tijdschrijven|J|J|J|N||0
20130101|99991231|act_3.1.3.5.1|act_3.1.3.5|Patiënt individueel|Interpersoonlijke therapie: Patiënt individueel|C|5|1|600|Tijdschrijven|J|J|J|N||0
20000101|20121231|act_3.1.3.5.2|act_3.1.3.5|Patiënt in groep|Interpersoonlijke therapie: Patiënt in groep||5|1|610|Tijdschrijven|J|J|J|J||0
20130101|99991231|act_3.1.3.5.2|act_3.1.3.5|Patiënt in groep|Interpersoonlijke therapie: Patiënt in groep|C|5|1|610|Tijdschrijven|J|J|J|J||0
20000101|20091231|act_3.1.3.5.3|act_3.1.3.5|Systeem (gezin/paar/ouders) met patient|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) met patient||5|1|620|Tijdschrijven|J|J|J|J||0
20000101|20061231|act_3.1.3.5.4|act_3.1.3.5|Systeem (gezin/paar/ouders) zonder patient individueel|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|630|Tijdschrijven|J|J|J|J||1
20070101|20121231|act_3.1.3.5.4|act_3.1.3.5|Systeem (gezin/paar/ouders) zonder patient individueel|Interpersoonlijke therapie: Systeem (gezin/paar/ouders) zonder patient individueel||5|1|630|Tijdschrijven|J|J|J|N||0
