cl_beroep_begindatum|cl_beroep_einddatum|cl_beroep_code|cl_beroep_groepcode|cl_beroep_element|cl_beroep_beschrijving|cl_beroep_hierarchieniveau|cl_beroep_selecteerbaar|cl_beroep_afleidbaar|cl_beroep_sorteervolgorde|cl_beroep_mutatie|cl_beroep_branche_indicatie
20180101|99991231|VB.SF.cpv|VB.SF|Consultatief Psych. Verpleegkundige (CPV)|Consultatief Psych. Verpleegkundige (CPV)|3|1|1|780|1|0
20000101|99991231|VB.SF.fpv|VB.SF|Forensisch Psychiatrisch Verpleegkundige|Forensisch Psychiatrisch Verpleegkundige|3|1|1|790||0
20000101|99991231|VB.SF.overig|VB.SF|Overig verpleegkundig SF|Overig verpleegkundig SF|3|1|1|800||0
20000101|20050401|VB.SF.ptv|VB.SF|Psychiatrisch Thuiszorg Verpleegkundige||3|1|1|810||0
20000101|20171231|VB.SF.spv|VB.SF|Sociaal Psych. Verpleegkundige|Sociaal Psych. Verpleegkundige|3|1|1|820|2|0
20180101|99991231|VB.SF.spv|VB.SF|Sociaal Psych. Verpleegkundige (SPV)|Sociaal Psych. Verpleegkundige (SPV)|3|1|1|820|1|0
20000101|20171231|VB.SP|VB|Specialisme|Verpleegkundige beroepen: Specialisme|2|0|1|830|2|0
20180101|99991231|VB.SP|VB|Specialisatie / functiedifferentiatie|Verpleegkundige beroepen: Specialisatie / functiedifferentiatie|2|0|1|830|1|0
20000101|20050401|VB.SP.vpspec|VB.SP|Verpleegkundig specialist GGZ||3|1|1|840||0
20000101|20171231|VB.SP.vrplsp|VB.SP|Verpleegkundig specialist GGZ|Verpleegkundig specialist GGZ|3|1|1|850|2|0
20180101|99991231|VB.SP.vrplsp|VB.SP|Ggz verpleegkundig specialist|Ggz verpleegkundig specialist|3|1|1|850|1|0
20000101|99991231|VK||Vaktherapeutische beroepen|Vaktherapeutische beroepen|1|0|1|860||0
20000101|20171231|VK.BG|VK|Basisberoep Gezondheidszorg|Vaktherapeutische beroepen: Basisberoep Gezondheidszorg|2|0|1|870|2|0
20180101|99991231|VK.BG|VK|Basisberoep Gezondheidszorg (BG)|Vaktherapeutische beroepen: Basisberoep Gezondheidszorg (BG)|2|0|1|870|1|0
20000101|20050401|VK.BG.crea|VK.BG|Vaktherepeut creatief||3|1|1|880||0
20000101|20050401|VK.BG.psychmt|VK.BG|Vaktherapeut psychomotorisch||3|1|1|890||0
20000101|20171231|VK.BG.vakth|VK.BG|GZ- vaktherapeut|GZ- vaktherapeut|3|1|1|900|2|0
20180101|99991231|VK.BG.vakth|VK.BG|Gz-vaktherapeut|Gz-vaktherapeut|3|1|1|900|1|0
20000101|20171231|VK.BI|VK|Basisberoep initieel|Vaktherapeutische beroepen: Basisberoep initieel|2|0|1|910|2|0
20180101|99991231|VK.BI|VK|Basisberoep initieel (BI)|Vaktherapeutische beroepen: Basisberoep initieel (BI)|2|0|1|910|1|0
20000101|20050401|VK.BI.arbth|VK.BI|Arbeidstherapeut||3|1|1|920||0
20000101|20171231|VK.BI.ct|VK.BI|Vaktherapeut creatief|Vaktherapeut creatief|3|1|1|930|2|0
20180101|99991231|VK.BI.ct|VK.BI|Vaktherapeut creatief (CT)|Vaktherapeut creatief (CT)|3|1|1|930|1|0
20000101|20050401|VK.BI.medarb|VK.BI|Medewerker arbeidsgerichte activiteiten||3|1|1|940||0
20000101|20050401|VK.BI.mededu|VK.BI|Medewerker educatieve activiteiten||3|1|1|950||0
20000101|20050401|VK.BI.medrecr|VK.BI|Medewerker recreatieve activiteiten||3|1|1|960||0
20000101|20050401|VK.BI.medspsp|VK.BI|Medewerker sport en spel||3|1|1|970||0
20000101|20171231|VK.BI.pmt|VK.BI|Vaktherapeut psychomotorisch|Vaktherapeut psychomotorisch|3|1|1|980|2|0
20180101|99991231|VK.BI.pmt|VK.BI|Vaktherapeut psychomotorisch met ggz-differentiatie (PMT)|Vaktherapeut psychomotorisch met ggz-differentiatie (PMT)|3|1|1|980|1|0
20180101|99991231|VK.BI.pmtz|VK.BI|Vaktherapeut psychomotorisch zonder ggz-differentiatie (PMTZ)|Vaktherapeut psychomotorisch zonder ggz-differentiatie (PMTZ)|3|1|0|981|1|0
20000101|20050401|VK.BI.vaard|VK.BI|Vaardigheidstrainer||3|1|1|990||0
20180101|99991231|VK.OB|VK|Overige Beroepen (OB)|Vaktherapeutische beroepen: Overige Beroepen (OB)|2|0|0|991|1|0
20180101|99991231|VK.OB.overig|VK.OB|Overig|Overig|3|1|0|992|1|0
20000101|99991231|VK.SF|VK|Specialisatie / functiedifferentiatie|Vaktherapeutische beroepen: Specialisatie / functiedifferentiatie|2|0|1|1000||0
20000101|99991231|VK.SF.overig|VK.SF|Overig vaktherapeutisch SF|Overig vaktherapeutisch SF|3|1|1|1010||0
20000101|99991231|VK.SF.vakth|VK.SF|GGZ-vaktherapeut|GGZ-vaktherapeut|3|1|1|1020||0
